,Author,Book,Filename,Optional years exist,Translated,Year,Years (optional),Scraped Year,Scraped Author
0,Saint Thomas Aquinas,"Summa Theologica, Part I-II (Pars Prima Secundae)",b'17897.txt',0,1,1467,,,1467
1,Caxton,Game and Playe of the Chesse,b'10672-8.txt',1,1,1474,1474 1883,,
2,Dante Alighieri,Hell,b'1005.txt',0,0,1480,,1847,
3,Dante Alighieri,The Divine Comedy of Dante:  Purgatory,b'1006.txt',0,1,1480,,,
4,Dante Alighieri,The Divine Comedy of Dante:  Paradise,b'1007.txt',0,0,1480,,,
5,Dante Alighieri,The Banquet (Il Convito),b'12867-8.txt',1,1,1480,1887 1835,1887,
6,Geoffrey Chaucer,Troilus and Criseyde,b'257.txt',0,0,1483,,1483,
7,Dante Alighieri,"The Vision of Hell, Part 2, Translated By The Rev. H. F. Cary,",b'8780.txt',0,1,1484,,,1484
8,Dante Alighieri,"The Vision of Hell, Part 3, Translated By The Rev. H. F. Cary,",b'8781.txt',0,1,1484,,,1484
9,Dante Alighieri,"The Vision of Hell, Part 4, Translated By The Rev. H. F. Cary,",b'8782.txt',0,1,1484,,,1484
10,Dante Alighieri,"The Vision of Hell, Part 5, Translated By The Rev. H. F. Cary,",b'8783.txt',0,1,1484,,,1484
11,Dante Alighieri,"The Vision of Hell, Part 6, Translated By The Rev. H. F. Cary,",b'8784.txt',0,1,1484,,,1484
12,Dante Alighieri,"The Vision of Hell, Part 7, Translated By The Rev. H. F. Cary,",b'8785.txt',0,1,1484,,,1484
13,Dante Alighieri,"The Vision of Hell, Part 8, Translated By The Rev. H. F. Cary,",b'8786.txt',0,1,1484,,,1484
14,Dante Alighieri,"The Vision of Hell, Part 9, Translated By The Rev. H. F. Cary,",b'8787.txt',0,1,1484,,,1484
15,Dante Alighieri,"The Vision of Hell, Part 10, Translated By The Rev. H. F. Cary,",b'8788.txt',0,1,1484,,,1484
16,Dante Alighieri,"The Vision of Hell, Complete, Translated By The Rev. H. F. Cary,",b'8789.txt',0,1,1484,,,1484
17,Dante Alighieri,"The Vision of Purgatory, Part 1",b'8790.txt',0,1,1484,,,1484
18,Dante Alighieri,"The Vision of Purgatory, Part 2",b'8791.txt',0,1,1484,,,1484
19,Dante Alighieri,"The Vision of Purgatory, Part 3",b'8792.txt',0,1,1484,,,1484
20,Dante Alighieri,"The Vision of Purgatory, Part 4",b'8793.txt',0,1,1484,,,1484
21,Dante Alighieri,"The Vision of Purgatory, Part 5",b'8794.txt',0,1,1484,,,1484
22,Dante Alighieri,"The Vision of Purgatory, Complete",b'8795.txt',0,1,1484,,,1484
23,Dante Alighieri,"The Vision of Paradise, Part 1.",b'8796.txt',0,1,1484,,,1484
24,Dante Alighieri,"The Vision of Paradise, Part 2.",b'8797.txt',0,1,1484,,,1484
25,Dante Alighieri,"The Vision of Paradise, Part 3.",b'8798.txt',0,1,1484,,,1484
26,Dante Alighieri,"The Vision of Paradise, Complete",b'8799.txt',0,1,1484,,,1484
27,Thomas Aquinas,"Summa Theologica, Part I (Prima Pars)",b'17611.txt',0,1,1485,,,1467
28,Thomas Aquinas,"Summa Theologica, Part II-II (Secunda Secundae)",b'18755-8.txt',0,1,1485,,,1467
29,Thomas Betson,A Ryght Profytable Treatyse Compendiously Drawen Out Of Many and Dyvers Wrytynges Of Holy Men,b'16779-8.txt',1,0,1500,1500 1905 1715,,
30,Lucius Seneca,Apocolocyntosis,b'10001.txt',1,1,1513,1513 1904,1729,
31,Erasmus,"Colloquies of Erasmus, Volume I.",b'14031-8.txt',0,1,1515,1878,,1515
32,Thomas More,Utopia,b'2130.txt',1,1,1518,1901 1478 1557 1515 1684,1518,
33,Garcilaso de la Vega,The Works of Garcilaso de la Vega,b'49410-8.txt',1,1,1530,1503 1823,,
34,Hugh Latimer,Sermons on the Card and Other Discourses,b'2458.txt',1,0,1530,1883 1491,1886,1886
35,Anon.,The Story of the Prophet Jonas,b'12076.txt',0,1,1531,1531,,
36,Nicolo Machiavelli,The Prince,b'1232.txt',0,1,1532,1469,1768,
37,,,b'16.txt',,,1535,,,
38,Desiderius Erasmus,A Very Pleasaunt & Fruitful Diologe Called the Epicure,b'16246-8.txt',0,1,1545,1545,,
39,Desiderius Erasmus,A Merry Dialogue Declaringe the Properties of Shrowde Shrews and Honest Wives,b'14282.txt',0,1,1547,,,1515
40,Desiderius Erasmus,The Pilgrimage of Pure Devotion,b'14746-8.txt',0,0,1547,,,1515
41,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (2 of 6): England (5 of 12)",b'16761-0.txt',0,0,1548,1154,,
42,Desiderius Erasmus,Two Dyaloges (c. 1549),b'14500-8.txt',0,1,1549,1549,,
43,,,b'17.txt',,,1551,,,
44,Sir Walter Raleigh,The Discovery of Guiana,b'2272.txt',0,0,1552,1552,1886,
45,Thomas More,Dialogue of Comfort Against Tribulation,b'17075-8.txt',1,0,1553,1951 1557 1950,1847,
46,Niccolò Machiavelli,"Machiavelli, Volume I",b'15772-8.txt',1,0,1560,1560 1640 1905,,
47,John Dowland,Fine Knacks for Ladies,b'17422.txt',1,0,1563,1563 1626,,1597
48,Richard Rainolde,A booke called the Foundacion of Rhetorike,b'26056-8.txt',1,0,1563,1563 1945,,
49,Lucius Apuleius,The Golden Asse,b'1666.txt',1,1,1566,1566 1639,1893,1537
50,,,b'2.txt',,,1566,,,
51,Cyril James Humphries Davenport,English Embroidered Bookbindings,b'17585-8.txt',1,0,1569,1569 1899 1633 1544 1540,1899,1907
52,Raphael  Holinshed,Chronicles (1 of 6): The Historie of England (4 of 8),b'16536-8.txt',0,0,1570,,,1807
53,Raphael Holinshed,Chronicles (1 of 6): The Historie of England (2 of 8),b'13624-8.txt',0,1,1570,,,1807
54,Raphael Holinshed,Chronicles (1 of 6): The Historie of England (1 of 8),b'16496-8.txt',0,0,1570,,,
55,Raphael Holinshed,Chronicles (1 of 6): The Historie of England (3 of 8),b'16511-8.txt',0,1,1570,,,1807
56,Raphael Holinshed,Chronicles 1 (of 6): The Historie of England 5 (of 8),b'16555-8.txt',0,0,1570,,,1807
57,Raphael Holinshed,Chronicles (1 of 6): The Historie of England (6 of 8),b'16610-8.txt',0,0,1570,,,1807
58,Raphael Holinshed,Chronicles (1 of 6): The Historie of England (7 of 8),b'16617-8.txt',0,0,1570,,,1807
59,Francis Hotoman,Franco-Gallia,b'17894-8.txt',1,1,1574,1574 1721,,
60,Raphael Holinshed,Chronicles (1 of 6): The Historie of England (8 of 8),b'16669-8.txt',0,0,1577,1043,,
61,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (2 of 6): England (2 of 12)",b'16748-8.txt',0,0,1577,1087,,
62,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (2 of 6): England (3 of 12)",b'16749-0.txt',0,0,1577,1100,,
63,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (2 of 6): England (4 of 12)",b'16760-0.txt',0,0,1577,1135,,
64,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (2 of 6): England (6 of 12)",b'16762-0.txt',0,0,1577,1189,,
65,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (3 of 6): England (4 of 9)",b'45593-8.txt',0,0,1577,1461,,
66,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (3 of 6): England (5 of 9)",b'45614-8.txt',0,0,1577,1513,,
67,Michel de Montaigne,"The Essays of Montaigne, Volume 1",b'3581.txt',1,1,1580,1877 1685 1687 1854,,1600
68,Michel de Montaigne,"The Essays of Montaigne, Volume 2",b'3582.txt',1,1,1580,1877 1140,,1600
69,Michel de Montaigne,"The Essays of Montaigne, Volume 3",b'3583.txt',1,1,1580,1877 1533,,1600
70,Michel de Montaigne,"The Essays of Montaigne, Volume 4",b'3584.txt',0,1,1580,1877,,1600
71,Michel de Montaigne,"The Essays of Montaigne, Volume 5",b'3585.txt',0,1,1580,1877,,1600
72,Michel de Montaigne,"The Essays of Montaigne, Volume 6",b'3586.txt',1,1,1580,1877 1588,,1600
73,Michel de Montaigne,"The Essays of Montaigne, Volume 7",b'3587.txt',0,1,1580,1877,,1600
74,Michel de Montaigne,"The Essays of Montaigne, Volume 8",b'3588.txt',0,1,1580,1877,,1600
75,Michel de Montaigne,"The Essays of Montaigne, Volume 9",b'3589.txt',0,1,1580,1877,,1600
76,Michel de Montaigne,"The Essays of Montaigne, Volume 10",b'3590.txt',0,1,1580,1877,,
77,Michel de Montaigne,"The Essays of Montaigne, Volume 11",b'3591.txt',1,1,1580,1877 1165,,1600
78,Michel de Montaigne,"The Essays of Montaigne, Volume 12",b'3592.txt',0,1,1580,1877,,1600
79,Michel de Montaigne,"The Essays of Montaigne, Volume 13",b'3593.txt',0,1,1580,1877,,1600
80,Michel de Montaigne,"The Essays of Montaigne, Volume 14",b'3594.txt',0,1,1580,1877,,1600
81,Michel de Montaigne,"The Essays of Montaigne, Volume 15",b'3595.txt',0,1,1580,1877,,1600
82,Michel de Montaigne,"The Essays of Montaigne, Volume 16",b'3596.txt',0,1,1580,1877,,1600
83,Michel de Montaigne,"The Essays of Montaigne, Volume 17",b'3597.txt',0,1,1580,1877,,1600
84,Michel de Montaigne,"The Essays of Montaigne, Volume 18",b'3598.txt',0,1,1580,1877,,1600
85,Michel de Montaigne,"The Essays of Montaigne, Volume 19",b'3599.txt',0,1,1580,1877,,1600
86,Michel de Montaigne,"The Essays of Montaigne, Complete",b'3600.txt',1,1,1580,1877 1685 1687 1854,,1600
87,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (3 of 6): England (6 of 9)",b'45611-8.txt',0,1,1580,1483,,
88,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (3 of 6): England (7 of 9)",b'45681-8.txt',0,0,1580,1485,,
89,Thomas Lodge and Giles Fletcher,Elizabethan Sonnet Cycles,b'18841-8.txt',1,0,1580,1896 1580,,
90,,,b'6.txt',,,1580,,,
91,Torquato Tasso,Jerusalem Delivered,b'392.txt',1,1,1581,1544 1595 1635,1787,
92,Samuel Daniel and Henry Constable,Elizabethan Sonnet-Cycles,b'18842-8.txt',1,1,1585,1896 1585,,
93,George Puttenham,The Arte of English Poesie,b'16420-8.txt',0,0,1589,1589,1869,1869
94,Richard Field,A Svmmarie and Trve Discovrse of Sir Frances Drakes VVest Indian Voyage,b'19589-8.txt',0,0,1589,1589,,1847
95,"Michael Drayton, Bartholomew Griffin, and William Smith",Elizabethan Sonnet Cycles,b'15448-8.txt',1,0,1590,1897 1621 1500 1590,,
96,Thomas Lodge,Rosalynde,b'17181-8.txt',1,0,1590,1910 1590 1907,1900,
97,Francesco Colonna,Hypnerotomachia,b'18459-0.txt',1,0,1592,1592 1969,,1592
98,Philippe de  Mornay,"A Discourse of Life and Death, by Mornay; and  Antonius by Garnier",b'21789-0.txt',0,0,1592,1592,,1617
99,R. G.,The Third And Last Part Of Conny-Catching. (1592),b'14462.txt',0,0,1592,1592,,1859
100,Christopher Marlowe,Massacre at Paris,b'1496.txt',0,0,1593,,,1662
101,,,b'shakespeare-venus-60.txt',,,1593,,,
102,Christopher Marlowe,The Tragedy of Dido Queene of Carthage,b'16169-0.txt',1,0,1594,1594 1914 1754,1594,
103,,,b'shakespeare-titus-50.txt',,,1594,,,
104,King James I,Daemonologie.,b'25929-0.txt',0,0,1597,1597,,1884
105,,,b'shakespeare-romeo-48.txt',,,1597,,,
106,"Marguerite de Valois, Queen of Navarre","The Memoirs of Marguerite de Valois, Volume III.",b'3840.txt',1,0,1599,1336 1453 1360 1422,,
107,,,b'shakespeare-julius-26.txt',,,1599,,,
108,Christoper Marlowe,The Tragical History of Dr. Faustus,b'779-8.txt',0,0,1604,1604,,
109,,,b'15.txt',,,1606,,,
110,,,b'shakespeare-king-45.txt',,,1606,,,
111,,,b'shakespeare-macbeth-46.txt',,,1606,,,
112,Anicius Manlius Severinus Boethius,The Theological Tractates and The Consolation of Philosophy,b'13316-8.txt',1,0,1609,1609 1918 1871,,1483
113,,,b'shakespeare-hamlet-25.txt',,,1609,,,
114,Samuel Rid,The Art of Iugling or Legerdemaine,b'12343.txt',0,0,1612,1612,,
115,George Chapman,Bussy D'Ambois and The Revenge of Bussy D'Ambois,b'20890-0.txt',1,1,1613,1905 1607,,1607
116,John Boys,An Exposition of the Last Psalme,b'17273-8.txt',0,1,1613,1613,,1796
117,Miguel de Cervantes Saavedra,The Exemplary Novels of Cervantes,b'14420-8.txt',1,0,1613,1881 1613,,1600
118,Thomas Potts,Discovery of Witches,b'18253-8.txt',0,0,1613,1613,1845,1815
119,Miguel de Cervantes Saavedra,Don Quixote,b'996.txt',0,1,1615,,1907,1600
120,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 2.",b'5904.txt',0,1,1615,,,1600
121,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 3.",b'5905.txt',0,1,1615,,,1600
122,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 4.",b'5906.txt',0,1,1615,,,1600
123,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 5.",b'5907.txt',0,1,1615,,,1600
124,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 6.",b'5908.txt',0,1,1615,,,1600
125,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 7.",b'5909.txt',0,1,1615,,,1600
126,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 8.",b'5910.txt',0,1,1615,,,1600
127,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 9.",b'5911.txt',0,1,1615,,,1600
128,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 10.",b'5912.txt',0,1,1615,,,1600
129,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 11.",b'5913.txt',0,1,1615,,,1600
130,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 12.",b'5914.txt',0,1,1615,,,1600
131,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 13.",b'5915.txt',0,1,1615,,,1600
132,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 14.",b'5916.txt',0,1,1615,,,1600
133,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 15.",b'5917.txt',0,1,1615,,,1600
134,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 16.",b'5918.txt',0,1,1615,,,1600
135,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 17.",b'5919.txt',0,1,1615,,,1600
136,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 18.",b'5920.txt',0,1,1615,,,1600
137,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 19",b'5922.txt',0,1,1615,,,1600
138,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 20",b'5923.txt',0,1,1615,,,1600
139,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 21",b'5924.txt',0,1,1615,,,1600
140,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 22",b'5925.txt',0,1,1615,,,1600
141,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 23",b'5926.txt',0,1,1615,,,1600
142,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 24",b'5927.txt',0,1,1615,,,1600
143,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 25",b'5928.txt',0,1,1615,,,1600
144,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 26",b'5929.txt',0,1,1615,,,1600
145,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 27",b'5930.txt',0,1,1615,,,1600
146,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 28",b'5931.txt',0,1,1615,,,1600
147,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 29",b'5932.txt',0,1,1615,,,1600
148,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 30",b'5933.txt',0,1,1615,,,1600
149,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 31",b'5934.txt',0,1,1615,,,1600
150,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 32",b'5935.txt',0,1,1615,,,1600
151,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 33",b'5936.txt',0,1,1615,,,1600
152,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 34",b'5937.txt',0,1,1615,,,1600
153,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 35",b'5938.txt',0,1,1615,,,1600
154,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 36",b'5939.txt',0,1,1615,,,1600
155,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 37",b'5940.txt',0,1,1615,,,1600
156,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 38",b'5941.txt',0,1,1615,,,1600
157,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 39",b'5942.txt',0,1,1615,,,1600
158,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 40",b'5943.txt',0,1,1615,,,1600
159,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 41",b'5944.txt',0,1,1615,,,1600
160,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. II., Part 42",b'5945.txt',0,1,1615,,,1600
161,Miguel de Cervantes Saavedra,"The History of Don Quixote, Volume II., Complete",b'5946.txt',0,1,1615,,,1600
162,Samuel Ward,"A Coal From The Altar, To Kindle The Holy Fire of Zeale",b'16423-8.txt',0,0,1615,1628,,1865
163,Alexander Roberts,A Treatise of Witchcraft,b'17209-8.txt',0,0,1616,1616,,1867
164,Christopher Marlowe,Dr. Faustus,b'811-8.txt',0,0,1616,1616,1995,1662
165,,,b'7.txt',,,1616,,,
166,Alexander Hume,Of the Orthographie and Congruitie of the Britan Tongue,b'17000-0.txt',1,0,1617,1865 1617 1574,1865,
167,"Marguerite de Valois, Queen of Navarre","The Memoirs of Marguerite de Valois, Volume II.",b'3839.txt',0,0,1618,,,1880
168,,,b'13.txt',,,1619,,,
169,William  Pemble,A Briefe Introduction to Geography,b'14999-8.txt',0,0,1620,1630,,
170,Jean de La Fontaine,"The Tales and Novels, Complete",b'5300.txt',0,0,1621,1621,,1678
171,Blaise Pascal,Pascal's PensÃ©es,b'18269-0.txt',1,0,1623,1958 1623,,1672
172,Blaise Pascal,Pascal's Pensées,b'18269-8.txt',1,0,1623,1958 1623,,1672
173,,,b'shakespeare-two-18.txt',,,1623,,,
174,Francis Beaumont and John Fletcher,The Works of Francis Beaumont and John Fletcher,b'12098.txt',1,0,1625,1584 1625 1906 1647 1830,,1903
175,Francis Beaumont and John Fletcher,The Maids Tragedy,b'10847.txt',0,0,1625,,,1903
176,Francis Beaumont and John Fletcher,Philaster,b'10850-8.txt',0,0,1625,,,1903
177,Francis Beaumont and John Fletcher,Beaumont & Fletcher's Works (1 of 10) - The Custom of the Country,b'12039.txt',0,0,1625,,,1903
178,Francis Beaumont and John Fletcher,Beaumont & Fletcher's Works (2 of 10) - The Humourous Lieutenant,b'12040.txt',0,0,1625,,,1903
179,Francis Beaumont and John Fletcher,The Scornful Lady,b'12110.txt',0,0,1625,,,
180,Francis Beaumont and John Fletcher,The Spanish Curate,b'12141.txt',0,0,1625,,,1903
181,Francis Beaumont and John Fletcher,Beggars Bush,b'12221.txt',0,0,1625,,,1903
182,Francis Beaumont and John Fletcher,The Faithful Shepherdess,b'12222.txt',0,0,1625,,,1903
183,Francis Beaumont and John Fletcher,"A King, and No King",b'12312.txt',0,0,1625,,,1903
184,Francis Beaumont and John Fletcher,The Laws of Candy,b'14548.txt',0,0,1625,,,1903
185,Francis Beaumont and John Fletcher,"Rule a Wife, and Have a Wife",b'14549.txt',0,0,1625,,,1903
186,Francis Beaumont and John Fletcher,The False One,b'14771-8.txt',0,0,1625,,,1903
187,Hannibal Gamon,The Praise of a Godly Woman,b'27280-8.txt',0,0,1626,1626,,
188,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I., Part 1.",b'5903.txt',0,1,1626,1880,,1600
189,Miguel de Cervantes Saavedra,"The History of Don Quixote, Vol. I, Complete",b'5921.txt',0,1,1626,1880,,1600
190,"Marguerite de Valois, Queen of Navarre","The Memoirs of Marguerite de Valois, Volume I.",b'3838.txt',1,1,1628,1628 1565 1813,,1880
191,"Marguerite de Valois, Queen of Navarre","Memoirs of Marguerite de Valois, Complete",b'3841.txt',1,1,1628,1628 1565 1813,,1880
192,Christopher Marlowe,Hero and Leander,b'18781.txt',0,0,1629,,1629,
193,,,b'3.txt',,,1630,,,
194,,,b'shakespeare-othello-47.txt',,,1630,,,
195,,,b'shakespeare-tragedy-58.txt',,,1633,,,
196,Thomas Dekker,The Noble Spanish Soldier,b'16753-8.txt',1,0,1634,1572 1931 1601,,1886
197,Pedro Calderon de la Barca,Life Is A Dream,b'2587.txt',0,1,1635,1600,2001,1740
198,,,b'12.txt',,,1635,,,
199,Mortimer Menpes,Rembrandt,b'17215-8.txt',1,0,1637,1637 1905,,1901
200,,,b'milton-comus-521.txt',,,1637,,,
201,John Wilkins,The Discovery of a World in the Moone,b'19103-0.txt',0,1,1638,1638,,1675
202,,,b'14.txt',,,1640,,,
203,,,b'4.txt',,,1643,,,
204,Edmund Waller; John Denham,Poetical Works of Edmund Waller and Sir John Denham,b'12322-8.txt',1,0,1645,1605 1548 1616,,1645
205,,,b'milton-sonnets-536.txt',,,1645,,,
206,John Dury,The Reformed Librarie-Keeper (1650),b'15199-8.txt',1,0,1650,1650 1983 1596 1680 1592 1670,,1650
207,Stephen Crisp,A Short History of a Long Travel from Babylon to Bethel,b'15730.txt',1,0,1650,1650 1725,,1834
208,William Lilly,William Lilly's History of His Life and Times,b'15835-8.txt',1,0,1650,1602 1681 1772,,1852
209,"Jean Francois Paul de Gondi, Cardinal de Retz","Memoirs Of Jean Francois Paul De Gondi, Cardinal De Retz, Volume IV.",b'3845.txt',0,0,1651,1651,,
210,Bulstrode Whitelocke,"A Journal of the Swedish Embassy in the Years 1653 and 1654, Vol II.",b'17407-8.txt',1,0,1653,1653 1855,,1692
211,Francois Rabelais,"Gargantua and Pantagruel, Complete.",b'1200.txt',1,1,1653,1653 1838 1693,,1600
212,Francois Rabelais,"Gargantua and Pantagruel, Book I.",b'8166.txt',1,1,1653,1653 1838 1693,,1600
213,Francois Rabelais,"Gargantua and Pantagruel, Book II.",b'8167.txt',1,1,1653,1653 1838 1693 1573,,1600
214,Francois Rabelais,"Gargantua and Pantagruel, Book III.",b'8168.txt',1,1,1653,1653 1838 1693,,1600
215,Francois Rabelais,"Gargantua and Pantagruel, Book IV.",b'8169.txt',1,1,1653,1653 1838 1693,,1600
216,Francois Rabelais,"Gargantua and Pantagruel, Book V.",b'8170.txt',1,1,1653,1653 1838 1693,,1600
217,Philip Nichols,Sir Francis Drake Revived,b'2854.txt',1,0,1653,1910 1540,1653,
218,Thomas Barker,The Art of Angling,b'26116.txt',1,0,1653,1653 1817,1653,
219,,,b'21.txt',,,1653,,,
220,"Anonymous, given as ""W. M.""",The Compleat Cook,b'10520.txt',0,0,1658,1658,,
221,Niccolo Machiavelli,History Of Florence And Of The Affairs Of Italy,b'2464-8.txt',1,1,1658,1901 1469,1872,
222,Niccolo Machiavelli,"Machiavelli, Volume I",b'15772.txt',1,0,1658,1560 1640 1905,,
223,Niccolo Machiavelli,Discourses on the First Decade of Titus Livius,b'10827-8.txt',0,1,1658,1883,1883,
224,John Evelyn,An Apologie for the Royal Party (1659); and A Panegyric to Charles the Second (1661),b'17833-8.txt',1,0,1659,1659 1951,,1879
225,Samuel Pepys,"Diary of Samuel Pepys, February 1659/1660",b'4119.txt',0,0,1659,1659,,1880
226,Samuel Pepys,"Diary of Samuel Pepys, March/April 1659/1660",b'4120.txt',0,0,1659,1659,,1880
227,"Jean Francois Paul de Gondi, Cardinal de Retz","Memoirs Of Jean Francois Paul De Gondi, Cardinal De Retz, Volume II.",b'3843.txt',0,0,1660,,,
228,"Jean Francois Paul de Gondi, Cardinal de Retz","Memoirs Of Jean Francois Paul De Gondi, Cardinal De Retz, Volume III.",b'3844.txt',0,0,1660,,,
229,Samuel Pepys,"Diary of Samuel Pepys, January 1659/1660",b'4118.txt',1,0,1660,1660 1752 1658 1700 1619,,1880
230,Samuel Pepys,"Diary of Samuel Pepys, May 1660",b'4121.txt',0,0,1660,1660,,1880
231,Samuel Pepys,"Diary of Samuel Pepys, June/July 1660",b'4122.txt',0,0,1660,1660,,1880
232,Samuel Pepys,"Diary of Samuel Pepys, August/September 1660",b'4123.txt',0,0,1660,1660,,1880
233,Samuel Pepys,"Diary of Samuel Pepys, October/November/December 1660",b'4124.txt',0,0,1660,1660,,1880
234,Samuel Pepys,"Diary of Samuel Pepys, 1660",b'4125.txt',1,0,1660,1660 1893 1825 1620,,1880
235,Robert Boyle,The Sceptical Chymist,b'22914-8.txt',0,0,1661,1661,1661,
236,Robert Boyle,Experiments and Considerations Touching Colours (1664),b'14504-8.txt',0,0,1661,,,1661
237,Samuel Pepys,"Diary of Samuel Pepys, January/February/March 1660/61",b'4126.txt',0,0,1661,1661,,1880
238,Samuel Pepys,"Diary of Samuel Pepys, April/May 1661",b'4127.txt',0,0,1661,1661,,1880
239,Samuel Pepys,"Diary of Samuel Pepys, June/July/August 1661",b'4128.txt',0,0,1661,1661,,1880
240,Samuel Pepys,"Diary of Samuel Pepys, September/October 1661",b'4129.txt',0,0,1661,1661,,1880
241,Samuel Pepys,"Diary of Samuel Pepys, November/December 1661",b'4130.txt',0,0,1661,1661,,1880
242,Samuel Pepys,"Diary of Samuel Pepys, 1661",b'4131.txt',1,0,1661,1661 1961 1893 1660,,1880
243,Samuel Pepys,"Diary of Samuel Pepys, January/February 1661/62",b'4132.txt',0,0,1661,1661,,1880
244,Samuel Pepys,"Diary of Samuel Pepys, March/April 1661/62",b'4133.txt',1,0,1661,1661 1500,,1880
245,Christopher Marlowe,The Jew of Malta,b'901-8.txt',0,0,1662,1633,1818,1662
246,Madame de La Fayette,The Princess of Montpensier,b'2365-8.txt',0,1,1662,1662,,1764
247,Samuel Pepys,"Diary of Samuel Pepys, May/June 1662",b'4134.txt',0,0,1662,1662,,1880
248,Samuel Pepys,"Diary of Samuel Pepys, July/August 1662",b'4135.txt',1,0,1662,1662 1588 1802,,1880
249,Samuel Pepys,"Diary of Samuel Pepys, September/October 1662",b'4136.txt',0,0,1662,1662,,1880
250,Samuel Pepys,"Diary of Samuel Pepys, November/December 1662",b'4137.txt',0,0,1662,1662,,1880
251,Samuel Pepys,"Diary of Samuel Pepys, 1662",b'4138.txt',1,0,1662,1662 1962 1893 1661,,1880
252,Samuel Pepys,"Diary of Samuel Pepys, March/April 1662/63",b'4140.txt',0,0,1662,1662,,1880
253,Samuel Pepys,"Diary of Samuel Pepys, January/February 1662/63",b'4139.txt',0,0,1663,1663,,1880
254,Samuel Pepys,"Diary of Samuel Pepys, May/June 1663",b'4141.txt',0,0,1663,1663,,1880
255,Samuel Pepys,"Diary of Samuel Pepys, July/August 1663",b'4142.txt',0,0,1663,1663,,1880
256,Samuel Pepys,"Diary of Samuel Pepys, September/October 1663",b'4143.txt',0,0,1663,1663,,1880
257,Samuel Pepys,"Diary of Samuel Pepys, November/December 1663",b'4144.txt',0,0,1663,1663,,1880
258,Samuel Pepys,"Diary of Samuel Pepys, 1663",b'4145.txt',1,0,1663,1663 1963 1893 1662,,1880
259,Samuel Pepys,"Diary of Samuel Pepys, March 1663/64",b'4147.txt',0,0,1663,1663,,1880
