,Author,Book,Filename,Optional years exist,Translated,Year,Years (optional),Scraped Year,Scraped Author
9911,Ambrose Newcomb,The Sky Pilot's Great Chase,b'45629.txt',0,0,1930,1930,,1930
9912,Clovis G. Chappell,Sermons on Biblical Characters,b'20578.txt',0,0,1930,1930,1930,
9913,Dama Margaret Smith,I Married a Ranger,b'18538-8.txt',0,0,1930,1930,,
9914,Ambrose Newcomb,Flying the Coast Skyways,b'45680.txt',0,0,1931,1931,,1930
9915,Anne Austin,Murder at Bridge,b'19403-8.txt',0,0,1931,1931,,1914
9916,John M. Garvan,The Manóbos of Mindanáo,b'18607-8.txt',0,0,1931,1931,,1931
9917,Levi Leonard Conant,The Number Concept,b'16449-8.txt',0,0,1931,1931,,
9918,Murray Leinster,Morale,b'20920.txt',0,0,1931,1931,,1959
9919,Ray Cummings,Brigands of the Moon,b'19066-8.txt',0,0,1931,1931,,1929
9920,Raymond King Cummings,The White Invaders,b'20551.txt',0,0,1931,1931,,
9921,Richard C. Squires,Squash Tennis,b'11550.txt',0,0,1931,1931,,
9922,Zora Hurston,Poker!,b'15902.txt',0,0,1931,1931,,1937
9923,J. Walker McSpadden,Robin Hood,b'832.txt',0,0,1932,1160,1991,
9924,Ellen Glasgow,The Miller Of Old Church,b'18286.txt',0,0,1933,,1994,
9925,George Santayana,Some Turns of Thought in Modern Philosophy,b'16712-8.txt',0,0,1933,1933,,1896
9926,Hattie Greene Lockett,The Unwritten Literature of the Hopi,b'15888.txt',0,0,1933,1933,,
9927,Jacqueline M. Overton,The Life of Robert Louis Stevenson for Boys and Girls,b'15547-8.txt',0,0,1933,1933,,
9928,Northern Nut Growers Association,Northern Nut Growers Association Report of the Proceedings at the Twenty-Fifth Annual Meeting,b'20903-8.txt',0,0,1933,1933,,
9929,Shoghi Effendi,The Advent of Divine Justice,b'19243-0.txt',0,0,1933,,,1941
9930,Shoghi Effendi,Directives from the Guardian,b'19270-0.txt',0,0,1933,,,1941
9931,Shoghi Effendi,Messages to America,b'19277-0.txt',0,0,1933,,,1941
9932,Shoghi Effendi,The World Order of BahÃ¡âuâllÃ¡h,b'19298-0.txt',0,0,1933,,,1941
9933,Shoghi Effendi,The World Order of Bahá'u'lláh,b'19298-8.txt',0,0,1933,,,1941
9934,Shoghi Effendi,The World Order of Baha'u'llah,b'19298.txt',0,0,1933,,,1941
9935,Charles Georges Souli,Eastern Shame Girl,b'12086.txt',0,1,1935,1935,,
9936,Nelle E. Moore,Near the Top of the World,b'45588-0.txt',1,0,1936,1936 1500,,
9937,Orrie Lashin and Milo Hastings,Class of '29,b'17061.txt',0,0,1936,1936,,
9938,Work Projects Administration,Slave Narratives: A Folk History of Slavery in the United States,b'11255-8.txt',0,0,1936,1936,,1942
9939,Work Projects Administration,Slave Narratives: A Folk History of Slavery in the United States ,b'11552.txt',0,0,1936,1936,,1942
9940,Work Projects Administration,Slave Narratives: Arkansas Narratives,b'11709.txt',0,0,1936,1936,,1942
9941,Work Projects Administration,Slave Narratives: A Folk History of Slavery in the United States From Interviews with Former Slaves,b'12055.txt',0,0,1936,1936,,1942
9942,Work Projects Administration,Slave Narratives: A Folk History of Slavery in the United States From Interviews with Former Slaves: The Ohio Narratives,b'13217.txt',0,0,1936,1936,,1942
9943,Work Projects Administration,"Slave Narratives: A Folk History of Slavery in the United States From Interviews with Former Slaves: Volume IV, Georgia Narratives, Part 1",b'13602-8.txt',0,0,1936,1936,,1942
9944,Work Projects Administration,"Slave Narratives: A Folk History of Slavery in the United States From Interviews with Former Slaves: Volume II, Arkansas Narratives, Part 2",b'13700.txt',0,0,1936,1936,,1942
9945,Work Projects Administration,"Slave Narratives, Administrative Files (A Folk History of ",b'13847.txt',0,0,1936,1936,,1942
9946,Work Projects Administration,Slave Narratives: a Folk History of Slavery in the United States From Interviews with Former Slaves,b'19446-8.txt',0,0,1936,1936,,1942
9947,Work Projects Administration,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Arkansas Narratives, Part 4",b'25154-8.txt',0,0,1936,1936,,1942
9948,J.E. Esslemont,BahÃ¡âuâllÃ¡h and the New Era,b'19241-0.txt',0,0,1937,1937,,1923
9949,J.E. Esslemont,Bahá'u'lláh and the New Era,b'19241-8.txt',0,0,1937,1937,,1923
9950,J.E. Esslemont,Baha'u'llah and the New Era,b'19241.txt',0,0,1937,1937,,1923
9951,Thomas H. Ormsbee and Richmond Huntley,If You're Going to Live in the Country,b'17804-8.txt',0,0,1937,1937,,
9952,Thomas Troward,The Law and the Word,b'15568-8.txt',0,0,1937,1937,,1989
9953,Andre Norton,Ralestone Luck,b'18817-8.txt',0,0,1938,1938,,1958
9954,Popular Mechanics,The Boy Mechanic: Volume 1,b'12655-8.txt',0,0,1938,1938,,1945
9955,Joseph Morris,It Can Be Done,b'10763-8.txt',0,0,1939,,1939,
